ticker,number_of_trades,win_ratio(%),average_res(%),average_trade_len(days),median_res(%),cumulative_result,trade_results,profitable_trade_results,profitable_trades_mean,profitable_trades_median,looser_trade_results,looser_trades_mean,looser_trades_median,median_trade_len(days),number_of_win_trades,number_of_lost_trades,max_gain(%),max_lost(%),first_trade_buy,buy_threshold,sell_threshold
MESA,7,57.14,-4.61,179.0,3.35,0.2980664642699066,12.87 # 27.08 # -36.89 # -72.33 # 3.35 # 63.09 # -29.41,12.87 # 27.08 # 3.35 # 63.09,26.6,19.98,-36.89 # -72.33 # -29.41,-46.21,-36.89,115.0,4,3,63.09,-72.33,2018-12-19,30,70
KIRK,19,52.63,-2.9,182.0,0.18,0.0563579822015105,26.56 # 0.18 # -71.28 # 85.03 # 35.4 # 33.82 # -5.27 # -12.84 # -27.23 # -9.7 # -25.25 # 8.75 # -0.09 # -82.35 # 30.69 # 5.79 # -63.0 # 2.97 # 12.66,26.56 # 0.18 # 85.03 # 35.4 # 33.82 # 8.75 # 30.69 # 5.79 # 2.97 # 12.66,24.19,19.61,-71.28 # -5.27 # -12.84 # -27.23 # -9.7 # -25.25 # -0.09 # -82.35 # -63.0,-33.0,-25.25,200.0,10,9,85.03,-82.35,2006-02-07,30,70
SNCE,4,75.0,3.83,149.0,24.3,0.1629935076684293,41.56 # -93.28 # 60.0 # 7.04,41.56 # 60.0 # 7.04,36.2,41.56,-93.28,-93.28,-93.28,107.5,3,1,60.0,-93.28,2021-10-06,30,70
MODD,1,0.0,-57.03,429.0,-57.03,0.4297297332128353,-57.03,,,,-57.03,-57.03,-57.03,429.0,0,1,-57.03,-57.03,2022-10-05,30,70
FPAY,20,60.0,8.37,109.0,21.54,0.6862475383878675,50.0 # -40.0 # 55.0 # -74.0 # -6.67 # 40.0 # 23.08 # 20.0 # 33.33 # -32.0 # 14.58 # 44.0 # 25.68 # 44.18 # -59.64 # -6.51 # 31.94 # -48.28 # -17.5 # 70.24,50.0 # 55.0 # 40.0 # 23.08 # 20.0 # 33.33 # 14.58 # 44.0 # 25.68 # 44.18 # 31.94 # 70.24,37.67,36.67,-40.0 # -74.0 # -6.67 # -32.0 # -59.64 # -6.51 # -48.28 # -17.5,-35.57,-36.0,87.0,12,8,70.24,-74.0,2010-06-25,30,70
FBIO,14,64.29,2.87,153.0,20.02,0.25664417984251897,11.27 # 15.16 # -59.66 # -8.26 # 35.65 # 36.55 # 24.87 # -44.08 # 41.73 # 45.16 # 33.59 # -54.48 # 38.46 # -75.85,11.27 # 15.16 # 35.65 # 36.55 # 24.87 # 41.73 # 45.16 # 33.59 # 38.46,31.38,35.65,-59.66 # -8.26 # -44.08 # -54.48 # -75.85,-48.46,-54.48,165.5,9,5,45.16,-75.85,2011-12-09,30,70
PBBK,3,66.67,5.77,91.0,6.35,1.1771906019505196,6.35 # -2.15 # 13.13,6.35 # 13.13,9.74,9.74,-2.15,-2.15,-2.15,33.0,2,1,13.13,-2.15,2021-08-06,30,70
APCX,16,68.75,190.82,129.0,117.42,76303.43543676035,-48.08 # 154.55 # -33.33 # 275.0 # 386.67 # 0.0 # 3.33 # -15.0 # 120.0 # 600.0 # 804.76 # 512.75 # 147.06 # 52.17 # 114.84 # -21.66,154.55 # 275.0 # 386.67 # 0.0 # 3.33 # 120.0 # 600.0 # 804.76 # 512.75 # 147.06 # 52.17 # 114.84,264.26,150.8,-48.08 # -33.33 # -15.0 # -21.66,-29.52,-27.5,111.0,11,5,804.76,-48.08,2013-06-25,30,70
YHGJ,19,63.16,22.65,181.0,28.78,7.419434105627385,30.4 # 46.47 # 40.91 # -54.03 # 59.22 # -4.76 # 24.2 # 5.46 # -26.92 # 28.78 # -26.24 # -52.6 # 58.89 # 53.8 # -39.29 # 170.21 # 60.68 # 72.54 # -17.45,30.4 # 46.47 # 40.91 # 59.22 # 24.2 # 5.46 # 28.78 # 58.89 # 53.8 # 170.21 # 60.68 # 72.54,54.3,50.13,-54.03 # -4.76 # -26.92 # -26.24 # -52.6 # -39.29 # -17.45,-31.61,-26.92,76.0,12,7,170.21,-54.03,2006-06-13,30,70
RAND,15,93.33,12.32,186.0,6.88,5.319996265006461,40.73 # 6.13 # 16.19 # 1.89 # 15.67 # 20.78 # 25.18 # 2.77 # 19.13 # 6.88 # 20.0 # 5.38 # -2.28 # 5.31 # 1.02,40.73 # 6.13 # 16.19 # 1.89 # 15.67 # 20.78 # 25.18 # 2.77 # 19.13 # 6.88 # 20.0 # 5.38 # 5.31 # 1.02,13.36,11.27,-2.28,-2.28,-2.28,163.0,14,1,40.73,-2.28,2007-02-27,30,70
NMTC,7,85.71,28.98,102.0,38.13,3.4132437589067868,45.83 # 33.33 # 45.38 # -59.68 # 21.67 # 78.21 # 38.13,45.83 # 33.33 # 45.38 # 21.67 # 78.21 # 38.13,43.76,41.75,-59.68,-59.68,-59.68,106.0,6,1,78.21,-59.68,2019-08-16,30,70
REFR,18,77.78,14.54,184.0,20.38,1.5263251784831346,16.17 # -69.82 # 44.1 # 18.18 # -28.17 # 15.16 # 35.76 # 13.64 # 24.24 # -72.94 # 22.58 # 53.52 # 29.72 # 93.0 # 80.18 # 1.81 # 32.57 # -48.0,16.17 # 44.1 # 18.18 # 15.16 # 35.76 # 13.64 # 24.24 # 22.58 # 53.52 # 29.72 # 93.0 # 80.18 # 1.81 # 32.57,34.33,26.98,-69.82 # -28.17 # -72.94 # -48.0,-54.73,-58.91,121.5,14,4,93.0,-72.94,2006-02-21,30,70
OESX,15,53.33,-4.97,202.0,1.16,0.13559296976027552,-62.54 # -11.44 # 16.99 # -38.82 # 34.45 # 19.32 # -59.45 # -44.77 # 39.24 # 46.4 # -27.54 # 19.37 # 16.57 # 1.16 # -23.57,16.99 # 34.45 # 19.32 # 39.24 # 46.4 # 19.37 # 16.57 # 1.16,24.19,19.35,-62.54 # -11.44 # -38.82 # -59.45 # -44.77 # -27.54 # -23.57,-38.3,-38.82,137.0,8,7,46.4,-62.54,2008-01-25,30,70
