ticker,number_of_trades,win_ratio(%),average_res(%),average_trade_len(days),median_res(%),cumulative_result,trade_results,profitable_trade_results,profitable_trades_mean,profitable_trades_median,looser_trade_results,looser_trades_mean,looser_trades_median,median_trade_len(days),number_of_win_trades,number_of_lost_trades,max_gain(%),max_lost(%),first_trade_buy
ICHR,18,33.33,1.23,79.0,-4.52,0.6864315071652198,73.5 # 6.73 # -30.9 # -11.01 # 6.28 # -14.87 # 7.18 # -2.42 # 79.37 # -12.0 # -2.94 # -32.25 # -22.09 # -7.72 # 5.26 # -2.07 # -11.81 # -6.1,73.5 # 6.73 # 6.28 # 7.18 # 79.37 # 5.26,29.72,6.96,-30.9 # -11.01 # -14.87 # -2.42 # -12.0 # -2.94 # -32.25 # -22.09 # -7.72 # -2.07 # -11.81 # -6.1,-13.01,-11.41,49.5,6,12,79.37,-32.25,2016-12-19
AHCO,11,18.18,9.53,114.0,-6.02,0.9149610605009765,-1.54 # 4.1 # -0.1 # 209.71 # -23.01 # -9.29 # -2.36 # -13.79 # -6.02 # -40.15 # -12.76,4.1 # 209.71,106.9,106.9,-1.54 # -0.1 # -23.01 # -9.29 # -2.36 # -13.79 # -6.02 # -40.15 # -12.76,-12.11,-9.29,42.0,2,9,209.71,-40.15,2018-06-14
TDCX,2,0.0,-9.03,104.0,-9.03,0.827284497026356,-10.55 # -7.52,,,,-10.55 # -7.52,-9.03,-9.03,103.5,0,2,-7.52,-10.55,2021-10-06
LQDA,10,50.0,9.84,74.0,0.93,1.4098229980400618,24.61 # -13.01 # -20.23 # -38.91 # 12.04 # 86.1 # -26.9 # 8.27 # -6.4 # 72.78,24.61 # 12.04 # 86.1 # 8.27 # 72.78,40.76,24.61,-13.01 # -20.23 # -38.91 # -26.9 # -6.4,-21.09,-20.23,62.0,5,5,86.1,-38.91,2018-08-15
NGMS,7,28.57,8.48,82.0,-10.64,1.092817133332418,-11.74 # 125.55 # -10.64 # -22.55 # -17.11 # -6.46 # 2.3,125.55 # 2.3,63.92,63.92,-11.74 # -10.64 # -22.55 # -17.11 # -6.46,-13.7,-11.74,52.0,2,5,125.55,-22.55,2020-12-02
SSYS,29,41.38,6.71,96.0,-4.93,2.827317000596588,2.99 # 44.46 # -8.22 # -22.18 # -13.98 # 39.35 # 34.08 # 0.66 # 46.02 # 95.49 # 3.27 # 44.27 # -10.46 # -9.14 # -7.54 # -16.06 # -12.25 # -12.55 # 12.5 # -8.04 # -8.69 # -8.25 # -21.31 # -20.77 # 57.14 # 0.5 # -0.55 # -4.93 # -1.09,2.99 # 44.46 # 39.35 # 34.08 # 0.66 # 46.02 # 95.49 # 3.27 # 44.27 # 12.5 # 57.14 # 0.5,31.73,36.71,-8.22 # -22.18 # -13.98 # -10.46 # -9.14 # -7.54 # -16.06 # -12.25 # -12.55 # -8.04 # -8.69 # -8.25 # -21.31 # -20.77 # -0.55 # -4.93 # -1.09,-10.94,-9.14,78.0,12,17,95.49,-22.18,2006-02-28
TH,11,27.27,6.55,97.0,-1.02,1.3011179509945625,-1.02 # -1.02 # -0.97 # 109.88 # -11.76 # -12.07 # 19.41 # 18.41 # -22.31 # -18.97 # -7.48,109.88 # 19.41 # 18.41,49.23,19.41,-1.02 # -1.02 # -0.97 # -11.76 # -12.07 # -22.31 # -18.97 # -7.48,-9.45,-9.62,100.0,3,8,109.88,-22.31,2018-04-27
AXL,41,17.07,-0.99,80.0,-8.97,0.1726413497108603,-7.18 # -7.79 # -5.67 # 43.54 # -15.42 # -11.82 # -34.68 # 160.46 # -10.15 # 41.29 # 9.11 # -1.32 # 56.62 # -10.15 # -7.64 # 20.49 # -13.24 # -13.46 # -13.31 # -1.59 # -19.42 # -0.11 # -3.87 # -3.1 # -10.4 # -10.91 # -7.63 # -16.82 # -10.72 # -39.89 # 16.69 # -3.26 # -13.17 # -1.24 # -16.28 # -15.8 # -13.36 # -21.04 # -11.75 # -7.49 # -8.97,43.54 # 160.46 # 41.29 # 9.11 # 56.62 # 20.49 # 16.69,49.74,41.29,-7.18 # -7.79 # -5.67 # -15.42 # -11.82 # -34.68 # -10.15 # -1.32 # -10.15 # -7.64 # -13.24 # -13.46 # -13.31 # -1.59 # -19.42 # -0.11 # -3.87 # -3.1 # -10.4 # -10.91 # -7.63 # -16.82 # -10.72 # -39.89 # -3.26 # -13.17 # -1.24 # -16.28 # -15.8 # -13.36 # -21.04 # -11.75 # -7.49 # -8.97,-11.43,-10.56,62.0,7,34,160.46,-39.89,2006-01-20
ARKO,10,30.0,-4.34,51.0,-4.07,0.6219223497005041,0.31 # -0.69 # -6.74 # -3.77 # -4.37 # -17.86 # 10.15 # -11.64 # -10.82 # 2.03,0.31 # 10.15 # 2.03,4.16,2.03,-0.69 # -6.74 # -3.77 # -4.37 # -17.86 # -11.64 # -10.82,-7.98,-6.74,50.5,3,7,10.15,-17.86,2019-07-25
MDXG,30,36.67,7.73,88.0,-5.38,0.5922491221517564,-5.87 # -24.71 # 73.08 # -12.88 # -16.0 # -8.33 # -13.33 # -0.83 # 319.26 # 22.35 # 21.91 # -4.89 # -9.58 # -10.87 # -2.67 # 45.39 # -43.12 # -15.52 # -50.6 # -30.79 # 6.04 # 22.82 # 6.48 # -17.43 # -10.45 # 22.25 # -50.31 # -0.86 # 19.59 # 1.77,73.08 # 319.26 # 22.35 # 21.91 # 45.39 # 6.04 # 22.82 # 6.48 # 22.25 # 19.59 # 1.77,50.99,22.25,-5.87 # -24.71 # -12.88 # -16.0 # -8.33 # -13.33 # -0.83 # -4.89 # -9.58 # -10.87 # -2.67 # -43.12 # -15.52 # -50.6 # -30.79 # -17.43 # -10.45 # -50.31 # -0.86,-17.32,-12.88,74.0,11,19,319.26,-50.6,2008-02-25
PRLB,18,33.33,8.53,106.0,-4.21,1.973747030169013,6.8 # -16.12 # 106.94 # -12.54 # -1.49 # -3.6 # -2.34 # -6.88 # -20.3 # -8.59 # 118.84 # -9.07 # 24.18 # 7.84 # -12.81 # -12.76 # -4.81 # 0.28,6.8 # 106.94 # 118.84 # 24.18 # 7.84 # 0.28,44.15,16.01,-16.12 # -12.54 # -1.49 # -3.6 # -2.34 # -6.88 # -20.3 # -8.59 # -9.07 # -12.81 # -12.76 # -4.81,-9.28,-8.83,58.5,6,12,118.84,-20.3,2012-02-28
QCRH,38,42.11,2.65,88.0,-1.21,1.8669241759198658,-5.18 # 0.98 # -0.56 # -5.29 # -0.55 # -2.62 # -2.82 # -9.22 # 3.54 # 3.83 # 0.0 # -7.41 # -11.22 # -6.46 # -3.79 # 2.44 # -3.47 # 3.49 # 34.85 # 11.24 # -3.27 # 6.2 # 2.55 # 17.92 # 3.7 # 74.8 # -3.78 # -14.15 # -4.5 # 5.17 # -9.56 # 36.06 # 11.39 # -4.78 # -6.01 # -16.33 # -1.87 # 5.48,0.98 # 3.54 # 3.83 # 0.0 # 2.44 # 3.49 # 34.85 # 11.24 # 6.2 # 2.55 # 17.92 # 3.7 # 74.8 # 5.17 # 36.06 # 11.39 # 5.48,13.16,5.17,-5.18 # -0.56 # -5.29 # -0.55 # -2.62 # -2.82 # -9.22 # -7.41 # -11.22 # -6.46 # -3.79 # -3.47 # -3.27 # -3.78 # -14.15 # -4.5 # -9.56 # -4.78 # -6.01 # -16.33 # -1.87,-5.85,-4.78,51.5,16,22,74.8,-16.33,2006-01-20
